UnitKey,month,uProd,pProd,pRate,Status,UnitTerminationDate
18986,122,133492,10324,0.08 ,1,NULL
18988,122,59496,7518,0.13 ,1,NULL
18991,122,95579,6624,0.07 ,1,NULL
18992,122,88730,15198,0.17 ,1,NULL
18993,122,56328,4344,0.08 ,1,NULL
18995,122,84843,10432,0.12 ,1,NULL
18997,122,115835,6910,0.06 ,1,NULL
18998,122,29708,8322,0.28 ,1,NULL
19003,122,66328,7896,0.12 ,1,NULL
19006,122,155504,9106,0.06 ,1,NULL
19009,122,184851,9231,0.05 ,1,NULL
19013,122,88360,10715,0.12 ,1,NULL
19022,122,218207,10472,0.05 ,1,NULL
19026,122,108264,5160,0.05 ,1,NULL
19031,122,94244,12920,0.14 ,1,NULL
19033,122,41120,7476,0.18 ,1,NULL
19034,122,54744,7790,0.14 ,1,NULL
19042,122,86346,6722,0.08 ,1,NULL
19043,122,99860,6766,0.07 ,1,NULL
19046,122,43924,6141,0.14 ,1,NULL
19051,122,110980,9054,0.08 ,1,NULL
19053,122,49018,12119,0.25 ,1,NULL
19061,122,153516,6928,0.05 ,1,NULL
19068,121,94292,13190,0.14 ,1,NULL
19072,121,26366,9318,0.35 ,1,NULL
19073,121,216812,17410,0.08 ,1,NULL
19075,121,93407,18097,0.19 ,1,NULL
19078,121,83862,5796,0.07 ,1,NULL
19086,121,258422,7272,0.03 ,1,NULL
19090,121,124597,7425,0.06 ,1,NULL
19092,121,118754,6783,0.06 ,1,NULL
19095,121,83063,9805,0.12 ,1,NULL
19100,121,39155,4100,0.10 ,1,NULL
19114,121,182012,9390,0.05 ,1,NULL
19115,121,223026,7606,0.03 ,1,NULL
19116,121,61406,6681,0.11 ,1,NULL
19119,121,83047,13331,0.16 ,1,NULL
19122,121,115829,15456,0.13 ,1,NULL
19130,121,56383,4545,0.08 ,1,NULL
19134,121,44698,18531,0.41 ,1,NULL
19139,121,57959,11891,0.21 ,1,NULL
19140,121,92016,12824,0.14 ,1,NULL
19145,121,177672,19602,0.11 ,1,NULL
19147,121,89597,7403,0.08 ,1,NULL
19149,121,52190,9741,0.19 ,1,NULL
19151,121,62350,4871,0.08 ,1,NULL
19152,121,61448,11358,0.18 ,1,NULL
19153,121,117590,11539,0.10 ,1,NULL
19154,121,175195,15639,0.09 ,1,NULL
19156,121,275601,23568,0.09 ,1,NULL
19158,121,211367,14158,0.07 ,1,NULL
19168,121,122087,7909,0.06 ,1,NULL
19173,121,206435,12585,0.06 ,1,NULL
19175,121,88117,11408,0.13 ,1,NULL
19187,121,98127,7258,0.07 ,1,NULL
19190,121,117024,4623,0.04 ,1,NULL
19213,121,28139,2030,0.07 ,1,NULL
19214,121,88122,7002,0.08 ,1,NULL
19215,121,82315,13070,0.16 ,1,NULL
19219,121,39184,4641,0.12 ,0,2018/10/31
19220,121,135632,13986,0.10 ,1,NULL
19222,121,57214,7198,0.13 ,1,NULL
19224,121,66108,7839,0.12 ,1,NULL
19226,121,59566,7109,0.12 ,1,NULL
19230,121,82383,7706,0.09 ,1,NULL
19231,121,142287,11979,0.08 ,1,NULL
19233,121,56388,4941,0.09 ,1,NULL
19235,121,189063,14270,0.08 ,1,NULL
19239,121,26022,4693,0.18 ,1,NULL
19241,121,140071,6849,0.05 ,1,NULL
19242,121,32496,2444,0.08 ,1,NULL
19245,121,95999,9795,0.10 ,1,NULL
19249,121,255382,15066,0.06 ,1,NULL
19257,121,59715,6311,0.11 ,1,NULL
19259,121,46260,11043,0.24 ,1,NULL
19261,121,113662,5421,0.05 ,1,NULL
19263,121,164570,11323,0.07 ,1,NULL
19265,121,60777,6326,0.10 ,1,NULL
19266,121,98368,16899,0.17 ,1,NULL
19267,121,126235,6599,0.05 ,1,NULL
19274,121,90496,11249,0.12 ,1,NULL
19277,121,216437,10201,0.05 ,1,NULL
19278,121,44260,6041,0.14 ,1,NULL
19286,121,101067,4771,0.05 ,1,NULL
19288,121,166498,8898,0.05 ,1,NULL
19289,121,61395,2246,0.04 ,1,NULL
19296,120,36799,6542,0.18 ,1,NULL
19302,120,60648,12377,0.20 ,1,NULL
19314,120,106227,7816,0.07 ,1,NULL
19320,120,71605,7019,0.10 ,1,NULL
19321,120,177083,8693,0.05 ,1,NULL
19323,120,102298,7307,0.07 ,1,NULL
19332,120,40820,7418,0.18 ,1,NULL
19333,120,179745,10701,0.06 ,1,NULL
19334,120,83725,9552,0.11 ,1,NULL
19339,120,29491,4696,0.16 ,1,NULL
19342,120,54547,6442,0.12 ,1,NULL
19345,120,135376,12676,0.09 ,1,NULL
19347,120,56977,7162,0.13 ,1,NULL
19353,120,71897,6724,0.09 ,1,NULL
19354,120,158306,13643,0.09 ,1,NULL
19356,120,28843,4598,0.16 ,1,NULL
19362,120,65920,6525,0.10 ,1,NULL
19365,120,86613,5108,0.06 ,1,NULL
19372,120,48209,8202,0.17 ,1,NULL
19376,120,70369,6822,0.10 ,1,NULL
19378,120,103054,7614,0.07 ,1,NULL
19381,120,113787,29876,0.26 ,1,NULL
19383,120,70683,6030,0.09 ,1,NULL
19386,120,69002,9153,0.13 ,1,NULL
19387,120,76964,9302,0.12 ,1,NULL
19389,120,172672,7209,0.04 ,1,NULL
19395,120,146523,14972,0.10 ,1,NULL
19402,120,106841,8522,0.08 ,1,NULL
19411,120,65583,4335,0.07 ,1,NULL
19413,120,53775,6362,0.12 ,1,NULL
19418,120,58123,4379,0.08 ,1,NULL
19419,120,69068,33737,0.49 ,1,NULL
19422,120,386652,9209,0.02 ,1,NULL
19428,120,56910,4922,0.09 ,1,NULL
19431,120,44670,7309,0.16 ,1,NULL
19432,120,57765,4600,0.08 ,1,NULL
19433,120,60936,11100,0.18 ,1,NULL
19435,120,73200,12917,0.18 ,1,NULL
19438,120,154071,8540,0.06 ,1,NULL
19439,120,20804,4449,0.21 ,1,NULL
19440,120,94136,5081,0.05 ,1,NULL
19442,120,58433,6798,0.12 ,1,NULL
19446,120,33825,2362,0.07 ,1,NULL
19447,120,95528,12456,0.13 ,1,NULL
19448,120,110734,8930,0.08 ,1,NULL
19449,120,161403,8904,0.06 ,1,NULL
19451,120,82465,7772,0.09 ,1,NULL
19454,120,206752,16834,0.08 ,1,NULL
19457,120,56301,8742,0.16 ,1,NULL
19460,120,119594,7239,0.06 ,1,NULL
19461,120,147529,10607,0.07 ,1,NULL
19462,120,60679,8657,0.14 ,1,NULL
19473,120,54526,4623,0.08 ,1,NULL
19474,120,182461,14175,0.08 ,1,NULL
19482,120,31472,4533,0.14 ,1,NULL
19491,120,76920,6964,0.09 ,1,NULL
19493,120,37814,8227,0.22 ,1,NULL
19496,120,107730,10893,0.10 ,1,NULL
19500,120,37819,4472,0.12 ,1,NULL
19508,120,280027,9193,0.03 ,1,NULL
19509,120,71426,2472,0.03 ,1,NULL
19511,120,28349,2180,0.08 ,1,NULL
19521,120,59920,8088,0.13 ,1,NULL
19529,120,60880,4587,0.08 ,1,NULL
19532,120,156051,9962,0.06 ,1,NULL
19535,120,121280,6497,0.05 ,1,NULL
19536,120,42977,2495,0.06 ,1,NULL
19551,120,133568,8795,0.07 ,1,NULL
19553,120,106525,7808,0.07 ,1,NULL
19556,120,49299,7715,0.16 ,1,NULL
19561,120,28055,2352,0.08 ,1,NULL
19574,120,89734,11557,0.13 ,1,NULL
19576,120,90525,25911,0.29 ,1,NULL
19577,120,150387,7487,0.05 ,1,NULL
19582,120,47990,6907,0.14 ,1,NULL
19588,120,242245,8612,0.04 ,1,NULL
19590,120,79081,12361,0.16 ,1,NULL
19592,120,138687,7675,0.06 ,1,NULL
19597,120,105688,9743,0.09 ,1,NULL
19598,120,61107,6176,0.10 ,1,NULL
19599,120,30018,6271,0.21 ,1,NULL
19600,120,283226,9061,0.03 ,1,NULL
19607,120,60391,6132,0.10 ,1,NULL
19611,120,55655,10271,0.18 ,1,NULL
19614,119,61744,6714,0.11 ,1,NULL
19617,119,159447,10038,0.06 ,1,NULL
19618,119,214914,11895,0.06 ,1,NULL
19628,119,120312,8885,0.07 ,1,NULL
19630,119,29899,9653,0.32 ,1,NULL
19639,119,99192,7283,0.07 ,1,NULL
19640,119,95233,7644,0.08 ,1,NULL
19641,119,58684,4982,0.08 ,1,NULL
19648,119,30476,4727,0.16 ,1,NULL
19653,119,112099,7890,0.07 ,1,NULL
19656,119,163193,7437,0.05 ,1,NULL
19658,119,93595,6826,0.07 ,1,NULL
19664,119,66329,8090,0.12 ,1,NULL
19668,119,89031,8575,0.10 ,1,NULL
19672,119,70946,4075,0.06 ,1,NULL
19676,119,80631,11207,0.14 ,1,NULL
19678,119,30853,2476,0.08 ,1,NULL
19679,119,69642,10751,0.15 ,1,NULL
19681,119,95027,5410,0.06 ,1,NULL
19685,119,73974,6885,0.09 ,1,NULL
19686,119,18289,4834,0.26 ,0,2018/11/30
19702,119,103233,11231,0.11 ,1,NULL
19704,119,167159,6837,0.04 ,1,NULL
19706,119,56276,8270,0.15 ,1,NULL
19709,119,117884,10208,0.09 ,1,NULL
19710,119,143403,6909,0.05 ,1,NULL
19711,119,62838,6211,0.10 ,1,NULL
19716,119,86729,7001,0.08 ,1,NULL
19720,119,64502,7450,0.12 ,1,NULL
19725,119,28045,3463,0.12 ,1,NULL
19728,119,129599,14532,0.11 ,1,NULL
19734,119,111344,8132,0.07 ,1,NULL
19738,119,39689,4220,0.11 ,0,2018/11/30
19750,119,57576,4415,0.08 ,1,NULL
19753,119,36378,7071,0.19 ,1,NULL
19761,119,153050,10046,0.07 ,1,NULL
19765,119,68053,7016,0.10 ,1,NULL
19766,119,98999,9447,0.10 ,1,NULL
19785,119,147044,8023,0.05 ,1,NULL
19789,119,99970,7377,0.07 ,1,NULL
19792,119,289609,7068,0.02 ,1,NULL
19793,119,151604,10348,0.07 ,1,NULL
19794,119,20475,4283,0.21 ,1,NULL
19796,119,66827,4311,0.06 ,1,NULL
19797,119,59103,2252,0.04 ,1,NULL
19798,119,34320,2028,0.06 ,1,NULL
19799,119,63124,6828,0.11 ,1,NULL
19803,119,100121,7758,0.08 ,1,NULL
19811,119,40121,11194,0.28 ,1,NULL
19812,119,86749,14349,0.17 ,1,NULL
19814,119,28011,2403,0.09 ,1,NULL
19818,119,126437,17362,0.14 ,1,NULL
19820,119,39504,2484,0.06 ,1,NULL
19823,119,90919,6621,0.07 ,1,NULL
19832,119,41037,6702,0.16 ,1,NULL
19834,119,40726,5203,0.13 ,1,NULL
19839,119,50576,8604,0.17 ,1,NULL
19840,119,43755,6959,0.16 ,1,NULL
19845,119,75825,22291,0.29 ,1,NULL
19849,119,50111,4453,0.09 ,1,NULL
19858,119,127592,8520,0.07 ,1,NULL
19861,119,92533,7694,0.08 ,1,NULL
19863,119,53874,7563,0.14 ,1,NULL
19868,119,145238,23344,0.16 ,1,NULL
19870,119,84281,14589,0.17 ,1,NULL
19871,119,32592,3951,0.12 ,1,NULL
19877,119,40850,2164,0.05 ,1,NULL
19888,119,22300,2716,0.12 ,1,NULL
19890,119,98168,6658,0.07 ,1,NULL
19899,119,43818,8071,0.18 ,1,NULL
19906,119,36838,9677,0.26 ,1,NULL
19914,119,141035,13625,0.10 ,1,NULL
19917,119,91198,7850,0.09 ,1,NULL
19918,119,31149,3604,0.12 ,1,NULL
19920,119,29567,2204,0.07 ,1,NULL
19930,119,78737,6408,0.08 ,1,NULL
19932,119,172914,10893,0.06 ,1,NULL
19941,119,59830,8135,0.14 ,1,NULL
19942,119,28199,3287,0.12 ,1,NULL
19944,119,71158,11939,0.17 ,1,NULL
19946,119,56468,6981,0.12 ,1,NULL
19948,119,29944,2315,0.08 ,1,NULL
19956,119,10044,5034,0.50 ,1,NULL
19958,119,114021,2979,0.03 ,1,NULL
19959,119,161865,7519,0.05 ,1,NULL
19966,119,56233,5497,0.10 ,1,NULL
19970,119,376072,12725,0.03 ,1,NULL
19971,119,7891,5220,0.66 ,1,NULL
19976,119,77052,4295,0.06 ,1,NULL
19984,119,68414,6727,0.10 ,1,NULL
19985,119,173757,9406,0.05 ,1,NULL
19989,119,48716,2439,0.05 ,1,NULL
19990,119,85180,7108,0.08 ,1,NULL
19991,119,50198,3212,0.06 ,1,NULL
19997,119,86018,7416,0.09 ,1,NULL
20002,119,181731,9925,0.05 ,1,NULL
20003,119,81191,5388,0.07 ,1,NULL
20005,119,82951,6692,0.08 ,1,NULL
20006,119,51644,4941,0.10 ,1,NULL
20009,119,229270,8603,0.04 ,1,NULL
20011,119,85853,6618,0.08 ,1,NULL
20013,119,183058,6654,0.04 ,1,NULL
20017,119,31000,6820,0.22 ,1,NULL
20021,119,38924,12502,0.32 ,1,NULL
20022,119,100753,11348,0.11 ,1,NULL
20026,119,82662,9077,0.11 ,1,NULL
20028,119,60521,7129,0.12 ,1,NULL
20033,119,95527,7094,0.07 ,1,NULL
20036,119,166724,16682,0.10 ,1,NULL
20038,119,177850,10788,0.06 ,1,NULL
20041,119,57904,4855,0.08 ,1,NULL
20043,119,87736,6177,0.07 ,1,NULL
20045,119,74623,14226,0.19 ,1,NULL
20053,119,58271,4200,0.07 ,1,NULL
20055,119,78249,7923,0.10 ,1,NULL
20057,119,112184,8354,0.07 ,1,NULL
20058,119,250940,11908,0.05 ,1,NULL
20060,119,110999,12271,0.11 ,1,NULL
20061,119,67375,18790,0.28 ,1,NULL
20070,118,75984,2312,0.03 ,1,NULL
20079,118,109368,7688,0.07 ,1,NULL
20087,118,243279,11030,0.05 ,1,NULL
20090,118,111437,7437,0.07 ,1,NULL
20094,118,92728,6810,0.07 ,1,NULL
20101,118,30046,4481,0.15 ,1,NULL
20102,118,108529,7828,0.07 ,1,NULL
20105,118,61891,4472,0.07 ,1,NULL
20113,118,20516,6939,0.34 ,1,NULL
20116,118,58830,12218,0.21 ,1,NULL
20117,118,135474,8637,0.06 ,1,NULL
20121,118,37153,5551,0.15 ,1,NULL
20124,118,105144,6656,0.06 ,1,NULL
20134,118,78247,8030,0.10 ,1,NULL
20137,118,102148,6842,0.07 ,1,NULL
20142,118,15647,4427,0.28 ,1,NULL
20144,118,74041,13700,0.19 ,1,NULL
20147,118,79566,7659,0.10 ,1,NULL
20150,118,72915,6674,0.09 ,1,NULL
20151,118,175168,7594,0.04 ,1,NULL
20153,118,79345,8132,0.10 ,1,NULL
20159,118,116843,12941,0.11 ,1,NULL
20165,118,71987,7799,0.11 ,1,NULL
20167,118,117445,9406,0.08 ,1,NULL
20177,118,121158,6646,0.05 ,1,NULL
20183,118,220600,7613,0.03 ,1,NULL
20185,118,67852,8597,0.13 ,1,NULL
20189,118,110313,6704,0.06 ,1,NULL
20195,118,57771,13181,0.23 ,1,NULL
20196,118,82314,4243,0.05 ,1,NULL
20198,118,101418,11481,0.11 ,1,NULL
20211,118,29683,2733,0.09 ,1,NULL
20221,118,69589,5684,0.08 ,1,NULL
20227,118,36220,5626,0.16 ,1,NULL
20230,118,30548,9487,0.31 ,1,NULL
20232,118,195267,11763,0.06 ,1,NULL
20242,118,67770,13129,0.19 ,1,NULL
20245,118,191324,8881,0.05 ,1,NULL
20250,118,42486,3358,0.08 ,0,2018/10/31
20252,118,31912,4564,0.14 ,1,NULL
20257,118,121165,6564,0.05 ,1,NULL
20263,118,201215,11681,0.06 ,1,NULL
20267,118,86642,8352,0.10 ,1,NULL
20268,118,57949,13998,0.24 ,1,NULL
20271,118,45149,4059,0.09 ,1,NULL
20279,118,184544,18746,0.10 ,1,NULL
20281,118,164653,13741,0.08 ,1,NULL
20285,118,26296,3193,0.12 ,1,NULL
20293,118,197608,20815,0.11 ,1,NULL
20300,118,17444,4966,0.28 ,0,2018/10/31
20304,117,79783,7083,0.09 ,1,NULL
20308,117,54457,24597,0.45 ,1,NULL
20312,117,53774,4728,0.09 ,1,NULL
20314,117,155726,4183,0.03 ,1,NULL
20316,117,98245,12837,0.13 ,1,NULL
20324,117,174204,9919,0.06 ,1,NULL
20326,117,15591,5060,0.32 ,1,NULL
20327,117,93430,7515,0.08 ,1,NULL
20328,117,286381,12860,0.04 ,1,NULL
20340,117,32158,6555,0.20 ,1,NULL
20342,117,55652,16080,0.29 ,1,NULL
20343,117,82939,7732,0.09 ,1,NULL
20346,117,153357,10682,0.07 ,1,NULL
20349,117,136546,13123,0.10 ,1,NULL
20354,117,77147,6721,0.09 ,1,NULL
20361,117,77003,10770,0.14 ,1,NULL
20374,117,58971,4922,0.08 ,1,NULL
20391,117,29778,2039,0.07 ,1,NULL
20393,117,45621,8346,0.18 ,1,NULL
20394,117,134916,11827,0.09 ,1,NULL
20406,117,59961,18728,0.31 ,1,NULL
20410,117,140417,7066,0.05 ,1,NULL
20416,117,62829,5228,0.08 ,1,NULL
20417,117,98148,8714,0.09 ,1,NULL
20418,117,31439,4596,0.15 ,1,NULL
20419,117,28303,2517,0.09 ,1,NULL
20422,117,45582,7024,0.15 ,1,NULL
20429,117,18772,4002,0.21 ,1,NULL
20430,117,113561,7262,0.06 ,1,NULL
20434,117,90896,6727,0.07 ,1,NULL
20435,117,367088,4012,0.01 ,1,NULL
20436,117,26801,4169,0.16 ,1,NULL
20441,117,103311,11415,0.11 ,1,NULL
20445,117,59685,4304,0.07 ,1,NULL
20471,117,103803,6923,0.07 ,1,NULL
20486,117,50745,11104,0.22 ,1,NULL
20488,117,62258,9279,0.15 ,1,NULL
20493,117,73345,14691,0.20 ,1,NULL
20501,117,57618,5978,0.10 ,1,NULL
20502,117,87062,8477,0.10 ,1,NULL
20503,117,88592,6965,0.08 ,1,NULL
20504,117,37035,6433,0.17 ,1,NULL
20516,117,38350,4608,0.12 ,1,NULL
20532,117,132284,6787,0.05 ,1,NULL
20535,117,39577,15321,0.39 ,1,NULL
20547,117,169418,22946,0.14 ,1,NULL
20549,117,62563,6599,0.11 ,1,NULL
20551,117,53079,4869,0.09 ,1,NULL
20556,117,148735,12273,0.08 ,1,NULL
20566,116,62360,4425,0.07 ,1,NULL
20571,116,64296,6948,0.11 ,1,NULL
20572,116,116670,5940,0.05 ,1,NULL
20574,116,45617,7190,0.16 ,1,NULL
20575,116,132236,6765,0.05 ,1,NULL
20576,116,42960,4612,0.11 ,1,NULL
20577,116,49508,8287,0.17 ,1,NULL
20583,116,58338,4518,0.08 ,1,NULL
20584,116,120384,5418,0.05 ,1,NULL
20594,116,77498,6816,0.09 ,1,NULL
20596,116,89438,21649,0.24 ,1,NULL
20598,116,50443,4966,0.10 ,1,NULL
20599,116,55979,6408,0.11 ,1,NULL
20601,116,58323,9283,0.16 ,1,NULL
20602,116,42793,2373,0.06 ,1,NULL
20604,116,17705,7814,0.44 ,1,NULL
20614,116,139511,6564,0.05 ,1,NULL
20617,116,91553,6719,0.07 ,1,NULL
20618,116,128097,10607,0.08 ,1,NULL
20638,116,57605,17682,0.31 ,1,NULL
20639,116,153629,7180,0.05 ,1,NULL
20640,116,330477,16611,0.05 ,1,NULL
20641,116,58073,10192,0.18 ,1,NULL
20643,116,59498,8310,0.14 ,1,NULL
20645,116,96452,9915,0.10 ,1,NULL
20649,116,53826,6872,0.13 ,0,2018/11/30
20650,116,99471,4660,0.05 ,1,NULL
20660,116,135785,10686,0.08 ,1,NULL
20661,116,63248,7026,0.11 ,1,NULL
20663,116,132637,10310,0.08 ,1,NULL
20664,116,118890,8623,0.07 ,1,NULL
20680,116,46148,4431,0.10 ,1,NULL
20681,116,62330,5909,0.09 ,1,NULL
20695,116,67708,19089,0.28 ,1,NULL
20696,116,167733,9710,0.06 ,1,NULL
20697,116,69124,6831,0.10 ,1,NULL
20709,116,99487,7920,0.08 ,1,NULL
20714,116,251824,9600,0.04 ,1,NULL
20719,116,28733,2387,0.08 ,1,NULL
20720,116,315244,10520,0.03 ,1,NULL
20728,116,88408,9502,0.11 ,1,NULL
20729,116,256877,7063,0.03 ,1,NULL
20730,116,73866,10061,0.14 ,1,NULL
20735,116,173756,9932,0.06 ,1,NULL
20737,116,70391,10319,0.15 ,1,NULL
20744,116,61713,4586,0.07 ,1,NULL
20746,116,109971,4323,0.04 ,0,2018/11/30
20747,116,31248,2226,0.07 ,1,NULL
20748,116,41706,6753,0.16 ,1,NULL
20751,116,34607,4624,0.13 ,1,NULL
20753,116,90740,4491,0.05 ,1,NULL
20757,116,57408,7409,0.13 ,1,NULL
20762,116,283155,7297,0.03 ,1,NULL
20764,116,65166,9740,0.15 ,1,NULL
20767,116,204799,10915,0.05 ,1,NULL
20769,116,183463,11502,0.06 ,1,NULL
20773,116,106352,8550,0.08 ,0,2018/11/30
20776,116,33315,7481,0.22 ,1,NULL
20778,116,96865,14920,0.15 ,1,NULL
20779,116,28059,2034,0.07 ,1,NULL
20781,116,90500,13737,0.15 ,1,NULL
20784,115,142595,7202,0.05 ,1,NULL
20789,115,5031,2452,0.49 ,1,NULL
20794,115,82098,7214,0.09 ,1,NULL
20797,115,136807,7735,0.06 ,1,NULL
20812,115,102688,7109,0.07 ,1,NULL
20813,115,59899,6272,0.10 ,1,NULL
20814,115,226982,8596,0.04 ,1,NULL
20819,115,30772,3782,0.12 ,1,NULL
20824,115,28457,6848,0.24 ,1,NULL
20825,115,54019,4831,0.09 ,1,NULL
20832,115,14574,4206,0.29 ,1,NULL
20834,115,31182,5331,0.17 ,1,NULL
20837,115,171639,12172,0.07 ,1,NULL
20839,115,140003,14919,0.11 ,1,NULL
20842,115,134757,7811,0.06 ,1,NULL
20843,115,140512,7400,0.05 ,1,NULL
20862,115,75394,10121,0.13 ,1,NULL
20863,115,119136,10785,0.09 ,1,NULL
20870,115,34754,4584,0.13 ,1,NULL
20877,115,140991,18259,0.13 ,1,NULL
20882,115,50554,6872,0.14 ,1,NULL
20885,115,166537,7515,0.05 ,1,NULL
20897,115,90363,11407,0.13 ,1,NULL
20898,115,80848,5441,0.07 ,1,NULL
20899,115,57358,2097,0.04 ,1,NULL
20900,115,122142,10461,0.09 ,1,NULL
20902,115,74492,11349,0.15 ,1,NULL
20905,115,92223,7238,0.08 ,1,NULL
20910,115,19870,2344,0.12 ,0,2018/11/30
20911,115,32439,6262,0.19 ,1,NULL
20918,115,92451,8214,0.09 ,1,NULL
20921,115,24054,2042,0.08 ,1,NULL
20922,115,57172,4492,0.08 ,1,NULL
20925,115,219922,16208,0.07 ,1,NULL
20936,115,84190,8173,0.10 ,1,NULL
20942,115,172817,10192,0.06 ,1,NULL
20948,115,62921,7283,0.12 ,1,NULL
20949,115,66129,14857,0.22 ,1,NULL
20950,115,76132,7546,0.10 ,1,NULL
20953,115,81480,9716,0.12 ,1,NULL
20958,115,29557,2079,0.07 ,1,NULL
20966,115,124355,7022,0.06 ,1,NULL
20969,115,39745,4602,0.12 ,1,NULL
20971,115,289101,12471,0.04 ,1,NULL
20972,115,44637,2032,0.05 ,1,NULL
20973,115,68731,9194,0.13 ,1,NULL
20976,115,134545,7478,0.06 ,1,NULL
20979,115,89826,8822,0.10 ,1,NULL
20981,115,337577,3633,0.01 ,1,NULL
20987,115,84728,6651,0.08 ,1,NULL
20988,115,38236,7036,0.18 ,1,NULL
20990,115,55157,3150,0.06 ,1,NULL
20993,115,100242,10368,0.10 ,1,NULL
20995,115,160831,9429,0.06 ,1,NULL
21005,115,203926,16714,0.08 ,1,NULL
21006,115,251817,20693,0.08 ,1,NULL
21017,115,92622,7484,0.08 ,1,NULL
21024,115,33907,5162,0.15 ,1,NULL
21027,115,139497,9517,0.07 ,1,NULL
21028,115,176001,6647,0.04 ,1,NULL
21029,115,86332,7272,0.08 ,1,NULL
21037,115,102160,6267,0.06 ,1,NULL
21041,114,238473,7663,0.03 ,1,NULL
21043,114,85026,4404,0.05 ,1,NULL
21047,114,146631,4043,0.03 ,1,NULL
21049,114,68812,5884,0.09 ,1,NULL
21051,114,119058,7173,0.06 ,1,NULL
21053,114,34163,11097,0.32 ,1,NULL
21056,114,34513,8464,0.25 ,1,NULL
21059,114,28811,4191,0.15 ,1,NULL
21063,114,53465,12353,0.23 ,1,NULL
21065,114,37558,7729,0.21 ,1,NULL
21069,114,90596,13687,0.15 ,1,NULL
21072,114,142391,19096,0.13 ,1,NULL
21074,114,87106,6806,0.08 ,1,NULL
21075,114,132345,6785,0.05 ,1,NULL
21078,114,110476,6847,0.06 ,1,NULL
21086,114,187808,6713,0.04 ,1,NULL
21095,114,119192,4902,0.04 ,1,NULL
21099,114,70797,14436,0.20 ,1,NULL
21102,114,83674,6586,0.08 ,1,NULL
21104,114,96391,7223,0.07 ,1,NULL
21105,114,31076,2984,0.10 ,1,NULL
21106,114,73587,2447,0.03 ,1,NULL
21107,114,58932,5727,0.10 ,1,NULL
21111,114,107883,9510,0.09 ,1,NULL
21112,114,139994,2686,0.02 ,1,NULL
21116,114,388243,7969,0.02 ,1,NULL
21117,114,150511,10689,0.07 ,1,NULL
21123,114,26878,4251,0.16 ,1,NULL
21146,114,39596,3957,0.10 ,1,NULL
21153,114,238581,8341,0.03 ,1,NULL
21156,114,41021,2692,0.07 ,0,2018/11/30
21161,114,41945,23129,0.55 ,1,NULL
21162,114,30321,2852,0.09 ,1,NULL
21164,114,36457,4474,0.12 ,1,NULL
21167,114,130007,6965,0.05 ,1,NULL
21169,114,83976,11589,0.14 ,1,NULL
21172,114,65107,12565,0.19 ,1,NULL
21174,114,90606,8061,0.09 ,1,NULL
21175,114,29612,4557,0.15 ,1,NULL
21181,114,65222,15839,0.24 ,1,NULL
21182,114,113013,6005,0.05 ,1,NULL
21189,114,184513,8034,0.04 ,1,NULL
21195,114,111952,6665,0.06 ,1,NULL
21199,114,30894,4892,0.16 ,1,NULL
21205,114,79282,23384,0.29 ,1,NULL
21208,114,133362,8008,0.06 ,1,NULL
21211,114,57176,4324,0.08 ,1,NULL
21213,114,105949,10841,0.10 ,1,NULL
21214,114,293440,8178,0.03 ,1,NULL
21215,114,38296,2051,0.05 ,1,NULL
21217,114,115695,8448,0.07 ,1,NULL
21222,114,37243,2178,0.06 ,1,NULL
21223,114,64973,4831,0.07 ,1,NULL
21224,114,28722,2516,0.09 ,1,NULL
21225,114,76075,6771,0.09 ,1,NULL
21228,114,69418,10736,0.15 ,1,NULL
21233,114,129536,7745,0.06 ,1,NULL
21234,114,108154,8005,0.07 ,1,NULL
21236,114,149912,10553,0.07 ,1,NULL
21242,114,107258,10855,0.10 ,1,NULL
21244,114,122438,10725,0.09 ,1,NULL
21246,114,84743,9432,0.11 ,1,NULL
21248,114,210135,8392,0.04 ,1,NULL
21253,114,57983,4629,0.08 ,1,NULL
21257,114,18026,2747,0.15 ,1,NULL
21264,114,40624,7331,0.18 ,1,NULL
21265,114,118303,7421,0.06 ,1,NULL
21268,114,249034,31669,0.13 ,1,NULL
21276,114,259764,9880,0.04 ,1,NULL
21282,114,28571,7203,0.25 ,1,NULL
21289,114,40296,7188,0.18 ,1,NULL
21301,114,30541,3642,0.12 ,1,NULL
21308,114,66626,12919,0.19 ,1,NULL
21312,114,80767,6537,0.08 ,1,NULL
21315,114,65594,4083,0.06 ,1,NULL
21316,114,77412,7021,0.09 ,1,NULL
21317,114,33406,2028,0.06 ,1,NULL
21319,114,182044,13508,0.07 ,1,NULL
21324,114,57003,8683,0.15 ,1,NULL
21329,114,134876,12696,0.09 ,1,NULL
21330,114,114239,10729,0.09 ,1,NULL
21334,114,58581,9204,0.16 ,1,NULL
21335,114,116264,12267,0.11 ,1,NULL
21340,114,68671,9898,0.14 ,1,NULL
21343,114,90065,4862,0.05 ,1,NULL
21352,114,38911,8042,0.21 ,1,NULL
21356,114,90260,7281,0.08 ,1,NULL
21357,114,95674,6223,0.07 ,1,NULL
21358,114,65451,12837,0.20 ,1,NULL
21363,114,118204,10653,0.09 ,1,NULL
21369,114,63749,9720,0.15 ,1,NULL
21373,114,32415,3024,0.09 ,1,NULL
21375,114,78629,13277,0.17 ,1,NULL
21376,114,51722,6474,0.13 ,1,NULL
