UnitKey,month,uProd,pProd,pRate,Status,UnitTerminationDate
2519,171,75144,2038,0.03 ,1,NULL
2521,171,40210,5692,0.14 ,1,NULL
2530,171,78926,7962,0.10 ,1,NULL
2539,171,210499,11520,0.05 ,1,NULL
2548,171,86503,7439,0.09 ,1,NULL
2562,171,99474,15877,0.16 ,1,NULL
2568,171,111174,6471,0.06 ,1,NULL
2581,171,51693,2439,0.05 ,1,NULL
2582,171,194560,7502,0.04 ,1,NULL
2591,171,85827,16981,0.20 ,1,NULL
2593,171,121470,11553,0.10 ,1,NULL
2595,171,321574,10822,0.03 ,1,NULL
2598,171,155139,12053,0.08 ,1,NULL
2605,171,162888,15181,0.09 ,1,NULL
2607,171,167652,11766,0.07 ,1,NULL
2611,171,136816,6780,0.05 ,1,NULL
2615,171,145231,11264,0.08 ,1,NULL
2616,171,88184,7404,0.08 ,1,NULL
2625,171,169548,9074,0.05 ,1,NULL
2629,171,120956,11083,0.09 ,1,NULL
2630,171,106817,11538,0.11 ,1,NULL
2633,171,35245,2034,0.06 ,1,NULL
2636,171,36916,6931,0.19 ,1,NULL
2639,171,33526,6843,0.20 ,1,NULL
2650,171,71008,3234,0.05 ,1,NULL
2657,171,163709,11188,0.07 ,1,NULL
2662,171,194888,11668,0.06 ,1,NULL
2664,171,238345,9543,0.04 ,1,NULL
2669,171,269631,6694,0.02 ,1,NULL
2679,171,40386,5925,0.15 ,1,NULL
2682,171,57091,4306,0.08 ,1,NULL
2690,171,36296,5300,0.15 ,1,NULL
2692,171,94592,9065,0.10 ,1,NULL
2693,171,107562,11226,0.10 ,1,NULL
2698,171,54437,10564,0.19 ,1,NULL
2701,171,317653,10698,0.03 ,1,NULL
2704,171,55453,7945,0.14 ,1,NULL
2708,171,118678,8544,0.07 ,1,NULL
2712,170,38787,8242,0.21 ,1,NULL
2720,170,347875,13553,0.04 ,1,NULL
2725,170,207194,6983,0.03 ,1,NULL
2740,170,111047,7963,0.07 ,1,NULL
2742,170,80708,7041,0.09 ,1,NULL
2747,170,50517,23461,0.46 ,1,NULL
2748,170,116744,11891,0.10 ,1,NULL
2753,170,129448,10657,0.08 ,1,NULL
2756,170,79558,9983,0.13 ,1,NULL
2769,170,60226,18503,0.31 ,1,NULL
2778,170,66776,11077,0.17 ,1,NULL
2780,170,151069,6844,0.05 ,1,NULL
2782,170,103355,10129,0.10 ,1,NULL
2783,170,117056,13017,0.11 ,1,NULL
2789,170,52890,8132,0.15 ,1,NULL
2802,170,32665,2213,0.07 ,1,NULL
2811,170,359934,14470,0.04 ,1,NULL
2812,170,65447,7214,0.11 ,1,NULL
2820,170,94820,18886,0.20 ,1,NULL
2822,170,73956,7005,0.09 ,1,NULL
2824,170,58005,5319,0.09 ,1,NULL
2842,170,59089,4646,0.08 ,1,NULL
2845,170,148564,15332,0.10 ,1,NULL
2848,170,56252,4678,0.08 ,1,NULL
2852,170,143670,17403,0.12 ,1,NULL
2859,170,113751,13986,0.12 ,1,NULL
2860,170,49927,2400,0.05 ,1,NULL
2863,170,120058,5862,0.05 ,1,NULL
2864,170,47702,16025,0.34 ,1,NULL
2870,170,118923,13459,0.11 ,1,NULL
2872,170,148459,6973,0.05 ,1,NULL
2876,170,173724,5246,0.03 ,1,NULL
2880,170,35525,7810,0.22 ,1,NULL
2884,170,175750,39473,0.22 ,1,NULL
2895,170,116645,6651,0.06 ,1,NULL
2912,170,127486,3842,0.03 ,1,NULL
2913,170,204975,12472,0.06 ,1,NULL
2916,170,186267,12938,0.07 ,1,NULL
2921,170,211580,13401,0.06 ,1,NULL
2926,170,133245,9215,0.07 ,1,NULL
2935,170,77274,8064,0.10 ,0,2018/11/30
2945,170,130884,19447,0.15 ,1,NULL
2957,170,285267,10207,0.04 ,1,NULL
2975,169,36228,8293,0.23 ,1,NULL
2997,169,154635,8342,0.05 ,1,NULL
3001,169,198582,15602,0.08 ,1,NULL
3004,169,52190,7772,0.15 ,1,NULL
3015,169,102514,9754,0.10 ,1,NULL
3021,169,129290,10533,0.08 ,1,NULL
3022,169,343800,16466,0.05 ,1,NULL
3024,169,44918,11366,0.25 ,1,NULL
3025,169,217231,9347,0.04 ,1,NULL
3026,169,71439,8088,0.11 ,1,NULL
3034,169,57150,5734,0.10 ,1,NULL
3035,169,61645,8641,0.14 ,1,NULL
3039,169,92894,6613,0.07 ,1,NULL
3044,169,216916,5025,0.02 ,1,NULL
3049,169,86946,10324,0.12 ,1,NULL
3055,169,14200,4964,0.35 ,1,NULL
3057,169,31526,7518,0.24 ,1,NULL
3059,169,55186,7418,0.13 ,1,NULL
3064,169,101977,8195,0.08 ,1,NULL
3073,169,369175,14146,0.04 ,1,NULL
3077,169,38430,13189,0.34 ,1,NULL
3084,169,71167,7502,0.11 ,1,NULL
3093,169,29185,4361,0.15 ,1,NULL
3096,169,159202,9153,0.06 ,1,NULL
3105,169,135497,6749,0.05 ,1,NULL
3112,169,119616,17724,0.15 ,1,NULL
3128,169,118353,8850,0.07 ,1,NULL
3129,169,90703,4671,0.05 ,1,NULL
3136,169,41315,5322,0.13 ,1,NULL
3137,169,238393,10878,0.05 ,1,NULL
3145,169,49951,7758,0.16 ,1,NULL
3146,169,132908,7413,0.06 ,1,NULL
3147,169,197875,7251,0.04 ,1,NULL
3148,169,55140,4873,0.09 ,1,NULL
3156,169,135410,12095,0.09 ,1,NULL
3159,169,337243,6967,0.02 ,1,NULL
3178,169,50690,12024,0.24 ,1,NULL
3181,169,266099,9351,0.04 ,1,NULL
3183,169,137756,7474,0.05 ,1,NULL
3184,169,83885,13544,0.16 ,1,NULL
3189,169,111856,12237,0.11 ,1,NULL
3192,169,12213,2323,0.19 ,1,NULL
3195,169,53314,5299,0.10 ,1,NULL
3196,169,339940,9534,0.03 ,1,NULL
3201,169,89973,6372,0.07 ,1,NULL
3204,169,158574,10637,0.07 ,1,NULL
3207,169,71000,3491,0.05 ,1,NULL
3211,169,173153,9822,0.06 ,1,NULL
3221,169,46613,2073,0.04 ,1,NULL
3224,169,179163,16607,0.09 ,1,NULL
3228,169,194420,6501,0.03 ,1,NULL
3260,169,116763,7000,0.06 ,1,NULL
3271,169,82355,8693,0.11 ,1,NULL
3278,169,80063,9329,0.12 ,1,NULL
3280,168,159857,9131,0.06 ,1,NULL
3286,168,39465,4330,0.11 ,1,NULL
3302,168,196582,6734,0.03 ,1,NULL
3310,168,31622,4790,0.15 ,1,NULL
3311,168,207346,11173,0.05 ,1,NULL
3316,168,53356,13164,0.25 ,1,NULL
3320,168,134387,7919,0.06 ,1,NULL
3325,168,254023,6908,0.03 ,1,NULL
3331,168,166377,11033,0.07 ,1,NULL
3333,168,152158,10625,0.07 ,1,NULL
3338,168,37917,7921,0.21 ,1,NULL
3341,168,59830,13802,0.23 ,1,NULL
3350,168,56271,7002,0.12 ,1,NULL
3361,168,30177,4511,0.15 ,1,NULL
3364,168,72897,9011,0.12 ,1,NULL
3372,168,159977,9995,0.06 ,1,NULL
3374,168,66618,12180,0.18 ,1,NULL
3386,168,88585,16334,0.18 ,1,NULL
3395,168,212234,11458,0.05 ,1,NULL
3396,168,146957,10667,0.07 ,1,NULL
3400,168,78164,2277,0.03 ,1,NULL
3409,168,63825,13166,0.21 ,1,NULL
3416,168,282706,7530,0.03 ,1,NULL
3426,168,41046,3235,0.08 ,1,NULL
3439,168,184055,10659,0.06 ,1,NULL
3440,168,53775,8610,0.16 ,1,NULL
3441,168,174965,11772,0.07 ,1,NULL
3442,168,151095,6728,0.04 ,1,NULL
3444,168,37803,16395,0.43 ,1,NULL
3456,168,38756,5402,0.14 ,1,NULL
3467,168,72352,6145,0.08 ,1,NULL
3469,168,150690,6792,0.05 ,1,NULL
3472,168,58313,5532,0.09 ,1,NULL
3476,168,113117,13803,0.12 ,1,NULL
3479,168,86052,15353,0.18 ,1,NULL
3487,168,26826,4977,0.19 ,1,NULL
3492,168,91774,10165,0.11 ,1,NULL
3494,168,92463,12349,0.13 ,1,NULL
3496,168,106170,21211,0.20 ,1,NULL
3503,168,33606,6437,0.19 ,1,NULL
3508,168,133156,8037,0.06 ,1,NULL
3509,168,399038,31777,0.08 ,1,NULL
3517,168,89733,9878,0.11 ,1,NULL
3529,168,30723,5056,0.16 ,0,2018/11/30
3536,168,96298,14124,0.15 ,1,NULL
3538,168,192594,13122,0.07 ,1,NULL
3561,168,173763,12461,0.07 ,1,NULL
3565,168,41753,5691,0.14 ,1,NULL
3573,168,58301,9669,0.17 ,1,NULL
3577,168,80008,10839,0.14 ,1,NULL
3578,168,118822,7858,0.07 ,1,NULL
3581,168,93902,7024,0.07 ,1,NULL
3585,168,32149,14764,0.46 ,1,NULL
3589,168,31664,4782,0.15 ,1,NULL
3592,168,57269,4782,0.08 ,1,NULL
3594,168,7133,7133,1.00 ,1,NULL
3603,168,62411,8092,0.13 ,1,NULL
3605,168,57059,7036,0.12 ,1,NULL
3617,168,113130,8118,0.07 ,1,NULL
3618,168,46541,4732,0.10 ,1,NULL
3625,168,237476,14396,0.06 ,1,NULL
3646,168,395737,17262,0.04 ,1,NULL
3656,168,122802,12758,0.10 ,1,NULL
3664,168,220063,12704,0.06 ,1,NULL
3672,168,34124,6785,0.20 ,1,NULL
3675,168,113697,11481,0.10 ,1,NULL
3680,168,31561,8902,0.28 ,1,NULL
3682,168,205886,12826,0.06 ,1,NULL
3683,168,288468,22131,0.08 ,1,NULL
3685,168,32188,2034,0.06 ,0,2018/11/30
3687,168,86003,30703,0.36 ,1,NULL
3695,167,157807,7196,0.05 ,1,NULL
3698,167,153676,17134,0.11 ,1,NULL
3700,167,62559,7100,0.11 ,1,NULL
3704,167,54169,4763,0.09 ,1,NULL
3707,167,109397,11045,0.10 ,1,NULL
3709,167,89694,15272,0.17 ,1,NULL
3711,167,28189,2057,0.07 ,1,NULL
3715,167,206604,8131,0.04 ,1,NULL
3716,167,85725,6138,0.07 ,1,NULL
3719,167,197528,18628,0.09 ,1,NULL
3720,167,169596,12477,0.07 ,1,NULL
3721,167,122301,5196,0.04 ,1,NULL
3723,167,364067,28675,0.08 ,1,NULL
3724,167,68179,10797,0.16 ,1,NULL
3727,167,208669,12318,0.06 ,1,NULL
3728,167,99132,17680,0.18 ,1,NULL
3747,167,59674,5151,0.09 ,1,NULL
3751,167,61864,8587,0.14 ,1,NULL
3752,167,149391,6920,0.05 ,1,NULL
3754,167,86276,5426,0.06 ,1,NULL
3756,167,115191,4353,0.04 ,1,NULL
3759,167,312064,9527,0.03 ,1,NULL
3761,167,84162,12177,0.14 ,1,NULL
3765,167,55108,7133,0.13 ,1,NULL
3766,167,268897,25434,0.09 ,1,NULL
3775,167,28335,2312,0.08 ,1,NULL
3785,167,33005,18102,0.55 ,1,NULL
3791,167,78968,15882,0.20 ,1,NULL
3802,167,96427,9126,0.09 ,1,NULL
3806,167,82413,4957,0.06 ,1,NULL
3812,167,82382,8327,0.10 ,1,NULL
3813,167,14744,2237,0.15 ,0,2018/11/30
3814,167,203772,9491,0.05 ,1,NULL
3818,167,146228,9328,0.06 ,1,NULL
3825,167,61591,9099,0.15 ,1,NULL
3833,167,52912,7313,0.14 ,1,NULL
3835,167,212621,8798,0.04 ,1,NULL
3841,167,36967,7586,0.21 ,1,NULL
3845,167,48593,4496,0.09 ,1,NULL
3848,167,60710,5188,0.09 ,1,NULL
3866,167,116882,21611,0.18 ,1,NULL
3874,167,47934,7472,0.16 ,1,NULL
3878,167,156129,10363,0.07 ,1,NULL
3883,167,245794,12797,0.05 ,1,NULL
3893,167,142138,6544,0.05 ,1,NULL
3896,167,167471,21620,0.13 ,1,NULL
3901,167,160555,6825,0.04 ,1,NULL
3904,167,30695,5930,0.19 ,1,NULL
3907,167,235016,6678,0.03 ,1,NULL
3915,167,116521,6667,0.06 ,1,NULL
3924,167,39125,2574,0.07 ,1,NULL
3933,167,167960,6732,0.04 ,1,NULL
3945,167,124376,11149,0.09 ,1,NULL
3949,167,39660,6643,0.17 ,1,NULL
3950,167,146406,18100,0.12 ,1,NULL
3953,167,258855,8348,0.03 ,1,NULL
3959,167,250504,7105,0.03 ,1,NULL
3963,167,2028,2028,1.00 ,1,NULL
3969,167,138261,13409,0.10 ,1,NULL
3975,167,115802,12020,0.10 ,1,NULL
3978,167,158341,17990,0.11 ,1,NULL
3979,167,245882,9045,0.04 ,1,NULL
3995,167,102720,5652,0.06 ,1,NULL
3997,167,80406,8128,0.10 ,1,NULL
4004,167,173738,12911,0.07 ,1,NULL
4015,167,83073,10339,0.12 ,1,NULL
4021,166,203509,6666,0.03 ,1,NULL
4026,166,165040,11113,0.07 ,1,NULL
4028,166,262727,9879,0.04 ,1,NULL
4035,166,87979,13473,0.15 ,1,NULL
4036,166,61673,7769,0.13 ,1,NULL
4043,166,113361,9861,0.09 ,1,NULL
4046,166,156920,17759,0.11 ,1,NULL
4053,166,196627,13070,0.07 ,1,NULL
4056,166,134043,17248,0.13 ,1,NULL
4058,166,186734,23439,0.13 ,1,NULL
4070,166,63786,7298,0.11 ,1,NULL
4072,166,54751,17373,0.32 ,1,NULL
4088,166,63296,11403,0.18 ,1,NULL
4093,166,70938,8878,0.13 ,1,NULL
4096,166,120613,10460,0.09 ,1,NULL
4111,166,117465,3058,0.03 ,1,NULL
4134,166,120230,17738,0.15 ,1,NULL
4146,166,106759,5244,0.05 ,1,NULL
4150,166,105570,7235,0.07 ,1,NULL
4165,166,114556,8843,0.08 ,1,NULL
4173,166,68478,6988,0.10 ,1,NULL
4188,166,278453,17130,0.06 ,1,NULL
4192,166,231517,7160,0.03 ,1,NULL
4193,166,63762,20332,0.32 ,1,NULL
4199,166,233611,6862,0.03 ,1,NULL
4204,166,157376,11091,0.07 ,1,NULL
4205,166,33538,5372,0.16 ,1,NULL
4206,166,266556,19018,0.07 ,1,NULL
4209,166,67561,15683,0.23 ,1,NULL
4219,166,123767,7212,0.06 ,1,NULL
4224,166,216217,7058,0.03 ,1,NULL
4227,166,142600,6826,0.05 ,1,NULL
4236,166,164609,14811,0.09 ,1,NULL
4241,166,181596,20060,0.11 ,1,NULL
4243,166,181042,29790,0.16 ,1,NULL
4253,166,137591,10950,0.08 ,1,NULL
4262,166,54029,4985,0.09 ,1,NULL
4271,166,165470,11793,0.07 ,1,NULL
4290,166,47430,10214,0.22 ,1,NULL
4291,166,28073,2966,0.11 ,1,NULL
4303,166,52152,14236,0.27 ,1,NULL
4307,166,164836,11010,0.07 ,1,NULL
4314,166,58261,4665,0.08 ,1,NULL
4320,166,35930,7526,0.21 ,1,NULL
4328,166,48649,2439,0.05 ,1,NULL
4336,166,66221,6626,0.10 ,1,NULL
4338,165,85189,6541,0.08 ,1,NULL
4341,165,217738,9022,0.04 ,1,NULL
